Source,Destination,Flight Name,type,Status,Time,Actual_Time,Delay
Paris (CDG),Mumbai,Air France,A,0,2020-02-02 00:05:00,2020-02-02 00:48:00,43.0
Hyderabad (HYD),Mumbai,IndiGo,A,0,2020-02-02 00:05:00,2020-02-02 00:23:00,18.0
Mumbai,Delhi (DEL),GoAir,D,1,2020-02-02 00:05:00,2020-02-02 00:30:00,25.0
Mumbai,Delhi (DEL),AirAsia,D,1,2020-02-02 00:05:00,2020-02-02 00:55:00,50.0
Mumbai,Bangkok (BKK),Bangkok Airways (Guilin Livery),D,1,2020-02-02 00:05:00,2020-02-02 00:50:00,45.0
Jaipur (JAI),Mumbai,GoAir,A,0,2020-02-02 00:10:00,2020-02-02 00:57:00,47.0
Delhi (DEL),Mumbai,IndiGo,A,0,2020-02-02 00:10:00,2020-02-02 23:45:00,1415.0
Mumbai,New York (EWR),United Airlines,D,1,2020-02-02 00:10:00,2020-02-02 01:02:00,52.0
London (LHR),Mumbai,British Airways (GREAT Festival of Creativity),A,0,2020-02-02 00:15:00,2020-02-02 01:21:00,66.0
Dubai (DXB),Mumbai,Vistara,A,0,2020-02-02 00:15:00,2020-02-02 00:01:00,14.0
Coimbatore (CJB),Mumbai,IndiGo,A,0,2020-02-02 00:15:00,2020-02-02 00:09:00,6.0
Mumbai,Bengaluru (BLR),IndiGo,D,1,2020-02-02 00:15:00,2020-02-02 00:45:00,30.0
Bengaluru (BLR),Mumbai,GoAir,A,0,2020-02-02 00:20:00,2020-02-02 00:04:00,16.0
Goa (GOI),Mumbai,SpiceJet,A,0,2020-02-02 00:20:00,2020-02-02 01:28:00,68.0
Chennai (MAA),Mumbai,IndiGo,A,0,2020-02-02 00:20:00,2020-02-02 01:26:00,66.0
Mumbai,Chennai (MAA),IndiGo,D,1,2020-02-02 00:20:00,2020-02-02 00:38:00,18.0
Jeddah (JED),Mumbai,IndiGo,A,0,2020-02-02 00:25:00,2020-02-02 01:07:00,42.0
Mumbai,Cochin (COK),IndiGo,D,1,2020-02-02 00:25:00,2020-02-02 00:47:00,22.0
Goa (GOI),Mumbai,Air India,A,0,2020-02-02 00:30:00,2020-02-02 00:37:00,7.0
Bengaluru (BLR),Mumbai,AirAsia,A,0,2020-02-02 00:30:00,2020-02-02 00:11:00,19.0
Kolkata (CCU),Mumbai,IndiGo,A,0,2020-02-02 00:30:00,2020-02-02 00:40:00,10.0
Mumbai,Goa (GOI),SpiceJet,D,1,2020-02-02 00:30:00,2020-02-02 01:14:00,44.0
Hong Kong (HKG),Mumbai,Cathay Pacific,A,0,2020-02-02 00:35:00,2020-02-02 00:53:00,18.0
Mumbai,Kannur (CNN),GoAir,D,1,2020-02-02 00:35:00,2020-02-02 01:11:00,36.0
Mumbai,Kolkata (CCU),SpiceJet,D,1,2020-02-02 00:35:00,2020-02-02 01:05:00,30.0
Amsterdam (AMS),Mumbai,KLM,A,0,2020-02-02 00:40:00,2020-02-02 01:01:00,21.0
Delhi (DEL),Mumbai,IndiGo,A,0,2020-02-02 00:45:00,2020-02-02 00:44:00,1.0
Mumbai,Dubai (DXB),Air India,D,1,2020-02-02 00:45:00,2020-02-02 01:36:00,51.0
Mumbai,Chennai (MAA),SpiceJet,D,1,2020-02-02 00:50:00,2020-02-02 02:02:00,72.0
Mumbai,Hyderabad (HYD),IndiGo,D,1,2020-02-02 00:50:00,2020-02-02 01:59:00,69.0
Mumbai,Delhi (DEL),IndiGo,D,1,2020-02-02 00:50:00,2020-02-02 01:24:00,34.0
Hyderabad (HYD),Mumbai,SpiceJet (With All Our Heart Livery),A,0,2020-02-02 00:55:00,2020-02-02 01:17:00,22.0
London (LHR),Mumbai,Virgin Atlantic,A,0,2020-02-02 00:55:00,2020-02-02 01:19:00,24.0
Bengaluru (BLR),Mumbai,IndiGo,A,0,2020-02-02 00:55:00,2020-02-02 01:15:00,20.0
Mumbai,New York (JFK),Delta Air Lines,D,1,2020-02-02 00:55:00,2020-02-02 01:29:00,34.0
Mumbai,Singapore (SIN),Singapore Airlines,D,1,2020-02-02 00:55:00,2020-02-02 01:17:00,22.0
Delhi (DEL),Mumbai,GoAir,A,0,2020-02-02 01:00:00,2020-02-02 01:07:00,7.0
Frankfurt (FRA),Mumbai,Lufthansa,A,0,2020-02-02 01:00:00,2020-02-02 01:42:00,42.0
Delhi (DEL),Mumbai,Air India,A,0,2020-02-02 01:10:00,2020-02-02 01:39:00,29.0
Kolkata (CCU),Mumbai,AirAsia,A,0,2020-02-02 01:10:00,2020-02-02 01:10:00,0.0
Kuwait City (KWI),Mumbai,Kuwait Airways,A,0,2020-02-02 01:10:00,2020-02-02 00:54:00,16.0
Mumbai,Bengaluru (BLR),AirAsia,D,1,2020-02-02 01:10:00,2020-02-02 01:22:00,12.0
Beijing (PEK),Mumbai,Air China,A,0,2020-02-02 01:15:00,2020-02-02 01:29:00,14.0
Mumbai,Singapore (SIN),Singapore Airlines,D,2,2020-02-02 01:15:00,,0.0
Goa (GOI),Mumbai,GoAir,A,0,2020-02-02 01:20:00,2020-02-02 01:35:00,15.0
Mumbai,Zurich (ZRH),Swiss,D,1,2020-02-02 01:20:00,2020-02-02 01:49:00,29.0
Mumbai,Phuket (HKT),GoAir,D,1,2020-02-02 01:25:00,2020-02-02 01:56:00,31.0
Mumbai,Dubai (DXB),IndiGo,D,1,2020-02-02 01:25:00,2020-02-02 02:51:00,86.0
Kolkata (CCU),Mumbai,GoAir,A,0,2020-02-02 01:30:00,2020-02-02 01:31:00,1.0
Dubai (DXB),Mumbai,IndiGo,A,0,2020-02-02 01:30:00,2020-02-02 01:46:00,16.0
Mumbai,New York (EWR),Air India,D,1,2020-02-02 01:30:00,2020-02-02 03:22:00,112.0
Bangkok (BKK),Mumbai,THAI Smile,A,0,2020-02-02 01:35:00,2020-02-02 01:41:00,6.0
Hyderabad (HYD),Mumbai,Blue Dart Aviation,A,0,2020-02-02 01:35:00,2020-02-02 01:44:00,9.0
Mumbai,Ahmedabad (AMD),Air India,D,1,2020-02-02 01:35:00,2020-02-02 02:07:00,32.0
Mumbai,Munich (MUC),Lufthansa,D,1,2020-02-02 01:35:00,2020-02-02 02:27:00,52.0
Mumbai,Hong Kong (HKG),Cathay Pacific,D,1,2020-02-02 01:40:00,2020-02-02 02:16:00,36.0
Cairo (CAI),Mumbai,EgyptAir (Egyptian National Football Team Livery),A,0,2020-02-02 01:45:00,2020-02-02 01:55:00,10.0
Delhi (DEL),Mumbai,SpiceJet,A,0,2020-02-02 01:45:00,2020-02-02 03:05:00,80.0
Ahmedabad (AMD),Mumbai,GoAir,A,0,2020-02-02 01:50:00,2020-02-02 03:19:00,89.0
Bangkok (BKK),Mumbai,SpiceJet,A,0,2020-02-02 01:50:00,2020-02-02 02:03:00,13.0
Hyderabad (HYD),Mumbai,IndiGo,A,0,2020-02-02 01:50:00,2020-02-02 01:51:00,1.0
Mumbai,Kolkata (CCU),AirAsia,D,1,2020-02-02 01:50:00,2020-02-02 02:12:00,22.0
